configuracion,idx_original,clase_objetivo,es_semilla_valida,k,radio_percentil_distancias,umbral_densidad,radio_percentil_riesgos,umbral_entropia,umbral_riesgo,entropia,criterio_pureza,proporcion_min,proporcion_min_valor,densidad,densidad_valor,riesgo,riesgo_valor,pasa_pureza,pasa_densidad,pasa_riesgo,vecinos_validos_por_percentil,synthetics_from_this_seed,cant_vecinos_en_p_elegido,cant_min_en_p_elegido
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,31,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,4/7,0.5714285714285714,4/7,0.5714285714285714,0/7,0.0,False,True,True,4,0,4,3
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,41,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,3/7,0.42857142857142855,5/7,0.7142857142857143,0/7,0.0,False,True,True,5,0,5,3
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,33,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,2/7,0.2857142857142857,6/7,0.8571428571428571,0/7,0.0,False,True,True,6,0,6,2
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,35,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,0/7,0.0,3/7,0.42857142857142855,0/7,0.0,False,False,True,3,0,3,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,38,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,4/7,0.5714285714285714,5/7,0.7142857142857143,0/7,0.0,False,True,True,5,0,5,3
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,40,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,5/7,0.7142857142857143,False,True,False,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,39,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,6/7,0.8571428571428571,False,True,False,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,30,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,2/7,0.2857142857142857,5/7,0.7142857142857143,0/7,0.0,False,True,True,5,0,5,0
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,32,eccentricity,False,7,1.2345422491708846,0.5,0.8714896370694869,,0.4,,proporcion,4/7,0.5714285714285714,2/7,0.2857142857142857,0/7,0.0,False,False,True,2,0,2,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,47,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,3/7,0.42857142857142855,2/7,0.2857142857142857,False,False,True,3,0,3,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,45,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,2/7,0.2857142857142857,False,True,True,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,49,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,2/7,0.2857142857142857,False,True,True,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,48,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,2/7,0.2857142857142857,1/7,0.14285714285714285,0/7,0.0,False,False,True,1,0,1,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,50,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,2/7,0.2857142857142857,6/7,0.8571428571428571,0/7,0.0,False,True,True,6,0,6,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,42,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,2/7,0.2857142857142857,1/7,0.14285714285714285,0/7,0.0,False,False,True,1,0,1,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,51,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,3/7,0.42857142857142855,0/7,0.0,False,False,True,3,0,3,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,52,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,4/7,0.5714285714285714,False,True,False,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,44,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,2/7,0.2857142857142857,False,True,True,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,53,missing_tooth,False,7,1.2654030884913265,0.5,0.8806587950490857,,0.4,,proporcion,1/7,0.14285714285714285,7/7,1.0,3/7,0.42857142857142855,False,True,False,7,0,7,1
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,58,root_crack,False,7,1.1008992770586117,0.5,0.6200561592614418,,0.4,,proporcion,2/7,0.2857142857142857,6/7,0.8571428571428571,3/7,0.42857142857142855,False,True,False,6,0,6,2
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,55,root_crack,False,7,1.1008992770586117,0.5,0.6200561592614418,,0.4,,proporcion,3/7,0.42857142857142855,3/7,0.42857142857142855,0/7,0.0,False,False,True,3,0,3,3
PRD70_PR30_CPprop_UD050_UR040_Upp060_I0,59,root_crack,False,7,1.1008992770586117,0.5,0.6200561592614418,,0.4,,proporcion,3/7,0.42857142857142855,6/7,0.8571428571428571,2/7,0.2857142857142857,False,True,True,6,0,6,2
